Bioinforma	acropora	Species	Year	Date	Areas	Location	population	Site	label_plot	GPS_point_	GPS_poin_1	source_file	geometry
BFC18-048-T	Acropora	A.tenuis	2018	31/03/2018	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC18-049-T	Acropora	A.tenuis	2018	31/03/2018	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC18-051-T	Acropora	A.tenuis	2018	31/03/2018	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC18-053-T	Acropora	A.tenuis	2018	31/03/2018	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC18-054-T	Acropora	A.tenuis	2018	31/03/2018	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC18-058-T	Acropora	A.tenuis	2018	31/03/2018	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC18-059-T	Acropora	A.tenuis	2018	31/03/2018	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC18-063-T	Acropora	A.tenuis	2018	31/03/2018	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC18-064-T	Acropora	A.tenuis	2018	31/03/2018	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC18-089-T	Acropora	A.tenuis	2018	01/04/2018	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC18-094-T	Acropora	A.tenuis	2018	01/04/2018	Chagos	PB	Chagos northern atolls	Ile du coin	Ile du coin	-5.4425	71.767	population_Chagos northern atolls.shp	"c(71.767, -5.4425)"
BFC18-100-T	Acropora	A.tenuis	2018	02/04/2018	Chagos	PB	Chagos northern atolls	Diamont Seaward	Diamont Seaward	-5.24633	71.7695	population_Chagos northern atolls.shp	"c(71.7695, -5.24633)"
BFC18-104-T	Acropora	A.tenuis	2018	02/04/2018	Chagos	PB	Chagos northern atolls	Diamont Seaward	Diamont Seaward	-5.24633	71.7695	population_Chagos northern atolls.shp	"c(71.7695, -5.24633)"
BFC18-107-T	Acropora	A.tenuis	2018	02/04/2018	Chagos	PB	Chagos northern atolls	Diamont Seaward	Diamont Seaward	-5.24633	71.7695	population_Chagos northern atolls.shp	"c(71.7695, -5.24633)"
BFC18-111-T	Acropora	A.tenuis	2018	02/04/2018	Chagos	PB	Chagos northern atolls	Diamont Seaward	Diamont Seaward	-5.24633	71.7695	population_Chagos northern atolls.shp	"c(71.7695, -5.24633)"
BFC18-112-T	Acropora	A.tenuis	2018	02/04/2018	Chagos	PB	Chagos northern atolls	Diamont Seaward	Diamont Seaward	-5.24633	71.7695	population_Chagos northern atolls.shp	"c(71.7695, -5.24633)"
BFC18-118-T	Acropora	A.tenuis	2018	02/04/2018	Chagos	PB	Chagos northern atolls	Diamont Seaward	Diamont Seaward	-5.24633	71.7695	population_Chagos northern atolls.shp	"c(71.7695, -5.24633)"
BFC18-127-T	Acropora	A.tenuis	2018	02/04/2018	Chagos	PB	Chagos northern atolls	Lagoon Diamont	Lagoon Diamont	-5.25718	71.76566	population_Chagos northern atolls.shp	"c(71.76566, -5.25718)"
BFC18-128-T	Acropora	A.tenuis	2018	02/04/2018	Chagos	PB	Chagos northern atolls	Lagoon Diamont	Lagoon Diamont	-5.25718	71.76566	population_Chagos northern atolls.shp	"c(71.76566, -5.25718)"
BFC18-132-T	Acropora	A.tenuis	2018	02/04/2018	Chagos	PB	Chagos northern atolls	Lagoon Diamont	Lagoon Diamont	-5.25718	71.76566	population_Chagos northern atolls.shp	"c(71.76566, -5.25718)"
BFC18-133-T	Acropora	A.tenuis	2018	02/04/2018	Chagos	PB	Chagos northern atolls	Lagoon Diamont	Lagoon Diamont	-5.25718	71.76566	population_Chagos northern atolls.shp	"c(71.76566, -5.25718)"
BFC18-144-T	Acropora	A.tenuis	2018	03/04/2018	Chagos	PB	Chagos northern atolls	Moresby	Moresby	-5.23735	71.83483333	population_Chagos northern atolls.shp	"c(71.83483333, -5.23735)"
