Sample_ID,Species,Location,Year_collected,Date_collected,Country,Atoll,Site,GPS_point_1,GPS_point_2,geometry
AJB18-022-T,A. aff. tenuis,Seychelles Inner Islands,2018,07/10/2018,Seychelles,Praslin,Praslin APC,-4.305556,55.734444,"c(55.734444, -4.305556)"
AJB18-023-T,A. aff. tenuis,Seychelles Inner Islands,2018,08/10/2018,Seychelles,Praslin,Praslin APC,-4.305556,55.734444,"c(55.734444, -4.305556)"
AJB18-026-T,A. aff. tenuis,Seychelles Inner Islands,2018,07/10/2018,Seychelles,Praslin,Praslin APC,-4.305556,55.734444,"c(55.734444, -4.305556)"
AJB18-029-T,A. aff. tenuis,Seychelles Inner Islands,2018,07/10/2018,Seychelles,Praslin,Praslin APC,-4.305556,55.734444,"c(55.734444, -4.305556)"
AJB18-031-T,A. aff. tenuis,Seychelles Inner Islands,2018,07/10/2018,Seychelles,Praslin,Praslin APC,-4.305556,55.734444,"c(55.734444, -4.305556)"
AJB18-045-T,A. aff. tenuis,Seychelles Inner Islands,2018,07/10/2018,Seychelles,Curieuse,Curieuse.Larai,-4.284722,55.733611,"c(55.733611, -4.284722)"
AJB18-046-T,A. aff. tenuis,Seychelles Inner Islands,2018,07/10/2018,Seychelles,Curieuse,Curieuse.Larai,-4.284722,55.733611,"c(55.733611, -4.284722)"
AJB18-047-T,A. aff. tenuis,Seychelles Inner Islands,2018,07/10/2018,Seychelles,Curieuse,Curieuse.Larai,-4.284722,55.733611,"c(55.733611, -4.284722)"
AJB18-094-T,A. aff. tenuis,Seychelles Inner Islands,2018,11/10/2018,Seychelles,Mahe,Cap Ternay,-4.639167,55.375,"c(55.375, -4.639167)"
AJB18-124-T,A. aff. tenuis,Seychelles Outer Islands,2018,07/11/2018,Seychelles,Assumption,Assumption Jetty Left,-9.731667,46.501667,"c(46.501667, -9.731667)"
AJB18-125-T,A. aff. tenuis,Seychelles Outer Islands,2018,07/11/2018,Seychelles,Assumption,Assumption Jetty Left,-9.731667,46.501667,"c(46.501667, -9.731667)"
AJB18-126-T,A. aff. tenuis,Seychelles Outer Islands,2018,07/11/2018,Seychelles,Assumption,Assumption Jetty Left,-9.731667,46.501667,"c(46.501667, -9.731667)"
AJB18-127-T,A. aff. tenuis,Seychelles Outer Islands,2018,07/11/2018,Seychelles,Assumption,Assumption Jetty Left,-9.731667,46.501667,"c(46.501667, -9.731667)"
AJB18-129-T,A. aff. tenuis,Seychelles Outer Islands,2018,07/11/2018,Seychelles,Assumption,Assumption Jetty Left,-9.731667,46.501667,"c(46.501667, -9.731667)"
AJB18-130-T,A. aff. tenuis,Seychelles Outer Islands,2018,07/11/2018,Seychelles,Assumption,Assumption Jetty Left,-9.731667,46.501667,"c(46.501667, -9.731667)"
AJB18-151-T,A. aff. tenuis,Seychelles Outer Islands,2018,19/11/2018,Seychelles,Aldabra,Anse Var 20m,-9.37353,46.21268,"c(46.21268, -9.37353)"
AJB18-152-T,A. aff. tenuis,Seychelles Outer Islands,2018,16/11/2018,Seychelles,Aldabra,ARM07,-9.46348,46.21877,"c(46.21877, -9.46348)"
AJB18-157-T,A. aff. tenuis,Seychelles Outer Islands,2018,19/11/2018,Seychelles,Aldabra,Anse Var 20m,-9.37353,46.21268,"c(46.21268, -9.37353)"
AJB18-158-T,A. aff. tenuis,Seychelles Outer Islands,2018,15/11/2018,Seychelles,Aldabra,ARM9,-9.41347,46.25736,"c(46.25736, -9.41347)"
AJB18-159-T,A. aff. tenuis,Seychelles Outer Islands,2018,15/11/2018,Seychelles,Aldabra,ARM9,-9.41347,46.25736,"c(46.25736, -9.41347)"
AJB18-161-T,A. aff. tenuis,Seychelles Outer Islands,2018,19/11/2018,Seychelles,Aldabra,Anse Var 20m,-9.37353,46.21268,"c(46.21268, -9.37353)"
AJB18-163-T,A. aff. tenuis,Seychelles Outer Islands,2018,15/11/2018,Seychelles,Aldabra,ARM9,-9.41347,46.25736,"c(46.25736, -9.41347)"
AJB18-164-T,A. aff. tenuis,Seychelles Outer Islands,2018,16/11/2018,Seychelles,Aldabra,ARM07,-9.46348,46.21877,"c(46.21877, -9.46348)"
AJB18-168-T,A. aff. tenuis,Seychelles Outer Islands,2018,19/11/2018,Seychelles,Aldabra,Anse Var 20m,-9.37353,46.21268,"c(46.21268, -9.37353)"
AJB18-170-T,A. aff. tenuis,Seychelles Outer Islands,2018,19/11/2018,Seychelles,Aldabra,Lag 1,-9.401944,46.255278,"c(46.255278, -9.401944)"
AJB18-171-T,A. aff. tenuis,Seychelles Outer Islands,2018,19/11/2018,Seychelles,Aldabra,Lag 1,-9.401944,46.255278,"c(46.255278, -9.401944)"
AJB18-173-T,A. aff. tenuis,Seychelles Outer Islands,2018,19/11/2018,Seychelles,Aldabra,Lag 1,-9.401944,46.255278,"c(46.255278, -9.401944)"
AJB18-174-T,A. aff. tenuis,Seychelles Outer Islands,2018,19/11/2018,Seychelles,Aldabra,Lag 1,-9.401944,46.255278,"c(46.255278, -9.401944)"
AJB18-176-T,A. aff. tenuis,Seychelles Outer Islands,2018,19/11/2018,Seychelles,Aldabra,Lag 1,-9.401944,46.255278,"c(46.255278, -9.401944)"
AJB18-177-T,A. aff. tenuis,Seychelles Outer Islands,2018,19/11/2018,Seychelles,Aldabra,Lag 1,-9.401944,46.255278,"c(46.255278, -9.401944)"
AJB18-179-T,A. aff. tenuis,Seychelles Outer Islands,2018,19/11/2018,Seychelles,Aldabra,Anse Var 20m,-9.37353,46.21268,"c(46.21268, -9.37353)"
AJB18-183-T,A. aff. tenuis,Seychelles Outer Islands,2018,20/11/2018,Seychelles,Aldabra,Anse Var 20m,-9.37353,46.21268,"c(46.21268, -9.37353)"
AJB18-184-T,A. aff. tenuis,Seychelles Outer Islands,2018,20/11/2018,Seychelles,Aldabra,Anse Var 20m,-9.37353,46.21268,"c(46.21268, -9.37353)"
AJB19-300-T,A. aff. tenuis,Seychelles Inner Islands,2019,29/01/2019,Seychelles,Aride,Aride,-4.214444,55.659444,"c(55.659444, -4.214444)"
